ssvid,shipname_norm,flag,imo,callsign,vessel_class,length_m,tonnage_gt,engine_power_kw,gfw_owner,gfw_owner_address,gfw_owner_flag,all_encounters,HS_encounters,fraction_encounters_in_HS
215338000,ANUKETPEARL,MLT,9395886,9HA2703,bunker,NA,5581,NA,ANUKET PEARL SHIPPING,"CARE OF ABC MARITIME AG , RUE PERDTEMPS, 1, 1260 NYON, SWITZERLAND.",CHE,4,1,0.25
273210110,PAMYATKIROVA,RUS,8701040,UFXA,carrier,144.35,12403,7600,OLYMPIA,"OFFICE 506, UL UNIVERSITETSKAYA 2G, KALININGRAD, 236040, RUSSIA.",RUS,46,26,0.57
273211110,PAMYATILICHA,RUS,8811675,UFYW,carrier,144.35,12406,7600,RUMB,"CARE OF BALTMED REEFER SERVICES LTD , 5, XENIAS STREET & CHARILAOU TRIKOUPI, KIFISIA, 145 62 ATHENS, GREECE.",RUS,16,1,0.06
273312860,GARMONIYA,RUS,8516639,UERQ,carrier,103,4295,NA,YUZMORRYBFLOT,"UL ZAVODSKAYA 16, YUZHNO-MORSKOY, NAKHODKA, PRIMORSKIY KRAY, 692954, RUSSIA.",RUS,3,1,0.33
273313270,SIMFONIYA,RUS,8516627,UFEF,carrier,103,4298,NA,YUZMORRYBFLOT,"APARTMENT 20, UL FONTANNAYA 19, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,18,3,0.17
273324210,ARCTIC,RUS,8223464,UFOR,carrier,99.01,3526,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,37,12,0.32
273335960,FRIOAGATES,RUS,9081631,UGKH,carrier,133.95,6964,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,39,6,0.15
273353640,EKATERINA,RUS,8603171,UBZH8,carrier,116.57,4148,3307.5,UNITED HUATONG MARITIME,"UL PUSHKINSKAYA 40, VLADIVOSTOK, PRIMORSKIY KRAY, 690002, RUSSIA.",RUS,41,1,0.02
273354920,ICEWIND,RUS,9003146,UBHH7,carrier,116.2,4280,NA,REFTRANSFLOT,"UL VOKZALNAYA 1, PETROPAVLOVSK-KAMCHATSKIY, KAMCHATSKIY KRAY, 683000, RUSSIA.",RUS,15,2,0.13
273356610,PROLIVLONGA,RUS,8136740,UBXG4,carrier,172.1,13496,NA,LINE INVEST C,"OFFICE 301, PEREULOK SHEVCHENKO 4, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,43,13,0.3
273410910,LIMANSKIY,RUS,8423612,UGFF,carrier,78.7,2418,NA,LODIA,"UL BERYOZOVAYA 30, VLADIVOSTOK, PRIMORSKIY KRAY, 690012, RUSSIA.",RUS,13,2,0.15
273421240,ANTONGURIN,RUS,8723402,UERJ,carrier,126.6,6689,NA,BEREG MECHTY,"UL TUCHKOVSKAYA 3, MOSCOW, 117452, RUSSIA.",RUS,47,16,0.34
273441670,JUPITER,RUS,7700116,UDOW,carrier,71,1727,NA,VLADKRISTALL,"UL 50-LET VLKSM 26-B, VLADIVOSTOK, PRIMORSKIY KRAY, 690077, RUSSIA.",RUS,17,3,0.18
273449080,SORAKSAN,RUS,8723361,UAYO,carrier,126.6,6648,NA,ZOLOTAYA DOLINA,"CARE OF VOSTOKTRANSSHIPPING CO LTD , UL SVETLANSKAYA 83, VLADIVOSTOK, PRIMORSKIY KRAY, 690001, RUSSIA.",RUS,36,11,0.31
273512400,TAMBOV,RUS,8225723,UIMH,carrier,152.7,12527,NA,DALTRANSFLOT,"RUSSIA, 690012 VLADIVOSTOK-12, A/YA 12/125",RUS,52,2,0.04
273811020,KAPITANPRYAKHA,RUS,8834483,UIWB,carrier,133.95,6998,NA,BEREG MECHTY,"UL TUCHKOVSKAYA 3, MOSCOW, 117452, RUSSIA.",RUS,39,8,0.21
273812710,VSEVOLODSIBIRTSEV,RUS,8610277,UDVB,carrier,165.97,32096,NA,YUZHMORRYBFLOT,"UL NABEREZHNAYA 8, NAKHODKA, PRIMORSKIY KRAY, 692955, RUSSIA.",RUS,60,1,0.02
273825200,PREDSEDATELGANSLEP,RUS,8834689,UIVX,carrier,55,683,NA,AMURRYBPROM,"UL GOGOLYA 27, KHABAROVSK, 680000, RUSSIA.",RUS,3,1,0.33
280032331,SHUNHANG,PAN,8214645,H3DE,carrier,94.2,3321,3347,SHUNHANG INTERNATIONAL SHIPPING,"ROOM 2502, TECHNOLOGICAL REAL STATE BUILDING, DONGHAI WEST ROAD, NO. 2121, GOUSHAN STREET, PUTUO, ZHOUZHAN, CHINA",CHN,1,1,1
