event_id,carrier_ssvid,neighbor_vessel_ssvid,event_start,event_end,median_distance_km,median_speed_knots,lon,lat
6340f0cc121e529d0fc4895612849f89,636014306,740337000,2018-02-18T23:50:00Z,2018-02-19T06:00:00Z,0.152,1.658,-60.59167917223437,-46.18030679015781
1dc84e4118d7f29ae28880da2bf1b05d,529264000,412329421,2018-05-31T10:50:00Z,2018-05-31T16:20:00Z,0.14,1.15,82.6183295084,-33.36660525505
27dfd761487d33923b6c8cae827106f6,412331493,150400453,2018-02-08T00:30:00Z,2018-02-08T03:20:00Z,0.074,0.047,-60.5620982433,-45.6257439547
48974e5a2b7f733173a76c991fd3511d,412440239,412440237,2018-12-04T17:30:00Z,2018-12-05T06:30:00Z,0.027,0.689,-121.60416278841682,5.674193414196262
77eab636d217161535554f3ad0c35194,374014000,416002325,2018-04-27T18:30:00Z,2018-04-27T20:50:00Z,0.024,0.872,39.0959625866,-35.607902511499994
390419f8f311fb1dc897803f0ecc6576,374014000,416002325,2018-06-02T15:50:00Z,2018-06-02T18:20:00Z,0.033,0.517,41.571525766,-34.9202622655
2605aafbaaf0febf8771c6238abeac02,416602000,416002948,2018-06-15T20:00:00Z,2018-06-16T00:50:00Z,0.019,0.691,-167.96855918962808,-28.981716927607014
9fe8e4ce6aefa27a5037286586d6a3d7,356609000,440502000,2018-02-19T10:40:00Z,2018-02-19T16:00:00Z,0.075,0.807,-60.764242500200005,-46.7798733988
6a515f8cd578b3846f255a2cce15c418,636018031,412329687,2018-10-14T18:40:00Z,2018-10-15T03:20:00Z,0.061,0.909,-60.39943855883637,-46.6201614475697
caa409794434584aa18387e3496c3547,636018031,412329686,2018-02-26T16:40:00Z,2018-02-27T10:10:00Z,0.072,0.099,-60.15724296760629,-45.34225076759162
ca0311a6ebf835b30ca9ad92a6fa7cd7,374014000,416002286,2018-05-09T16:00:00Z,2018-05-09T19:30:00Z,0.033,0.469,49.4165435692,-36.0797793031
5d85b40b585ebe069b32923f83eaf032,565318000,416036600,2018-03-14T23:40:00Z,2018-03-15T02:30:00Z,0.093,1.014,-20.8934240438,-5.0706467675
710f844e3ef7c2600ed1c3b668f902b4,538004148,432967000,2018-04-03T14:00:00Z,2018-04-03T18:00:00Z,0.163,1.365,-28.717360926149993,7.297772671100001
c07cd1f6c98dc10aa0ec877c04421705,370136000,412420622,2018-12-24T10:30:00Z,2018-12-24T14:40:00Z,0.05,0.34,-82.24593761095001,-16.416592151550002
81c408d87ed47bd5bd82db7d4b81d6ed,416602000,416004248,2018-05-27T18:00:00Z,2018-05-27T21:30:00Z,0.016,0.895,-164.8432489399,-5.9863984463
ab5dd24adb5e799a48e69298ba1fbc58,416064900,416003483,2018-11-22T07:40:00Z,2018-11-22T11:10:00Z,0.025,0.5,159.416426091005,0.250570287105
a45241e65d05c9037fa5c245769ab621,351478000,440684000,2018-03-02T14:20:00Z,2018-03-02T23:00:00Z,0.05,1.167,-60.37450601756517,-47.07162327800224
62a4decf0dd45252ffdd003d30586378,636018031,412329686,2018-01-18T22:20:00Z,2018-01-19T08:30:00Z,0.04,1.92,-60.019231746856676,-45.40215092035
a89d565fd943d18a2a14c6c21cb3043c,356258000,412329686,2018-05-24T11:10:00Z,2018-05-24T22:40:00Z,0.061,1.013,-60.30700719882105,-45.64528712226842
0698f112109ed8e12811f8aab8a47cfd,356258000,412329686,2018-06-17T09:10:00Z,2018-06-18T22:50:00Z,0.054,0.548,-60.364935303953175,-46.27158507446517
09fe711ef2adbba4637eade908cb459a,636018031,412329686,2018-12-02T09:10:00Z,2018-12-02T17:20:00Z,0.051,1.307,-60.104060749149994,-46.1616552989
581b6e37c768f4ecd881f47d7e4cdbf3,416064900,416075900,2018-04-25T21:30:00Z,2018-04-26T02:40:00Z,0.027,0.906,175.93637136804998,10.352573401899999
b6b335809497b338ee0c2796dfb7a354,538004148,431750000,2018-09-29T08:20:00Z,2018-09-29T10:50:00Z,0.16,0.947,2.0014869693,-18.69724532575
28da00cd451510c19e81ccd033e44eae,374762000,416121900,2018-03-24T08:10:00Z,2018-03-24T12:40:00Z,0.047,1.117,-28.881365840514995,7.9297387271124995
8bf73bd66e1e88b3af591a53bdba49f2,351822000,416189700,2018-11-05T18:40:00Z,2018-11-06T04:00:00Z,0.034,1.314,152.56380765535002,40.65930570395
611d9814d72a05c4fa5cab27ba8cd663,351822000,416189700,2018-08-16T19:40:00Z,2018-08-16T22:00:00Z,0.036,1.073,159.6528562964,42.8364475155
4c063d2b4e0a4560cfe755e0a72b39d9,636017460,441769000,2018-04-26T00:50:00Z,2018-04-26T04:30:00Z,0.064,1.132,-57.8166580432,-41.983172617950004
37dedaea6afedb5957c527648fff4804,351478000,441769000,2018-03-04T07:40:00Z,2018-03-04T11:10:00Z,0.05,0.958,-60.5601507805,-46.8847275355
0e2cf2b19692d831b0129be70b77d1b1,353981000,441769000,2018-10-07T03:10:00Z,2018-10-08T00:40:00Z,0.041,0.449,-60.64626674216268,-46.958656747606696
fd1098c974e5bf1c22838237b2de628c,538004148,432444000,2018-03-14T13:30:00Z,2018-03-14T16:10:00Z,0.172,1.748,9.5017139606,-10.9960148266
6ecdaf957f115791ea7fde8df791b6ba,538004148,432444000,2018-10-04T13:00:00Z,2018-10-04T17:10:00Z,0.176,0.383,4.85170428315,-22.19554989055
a2ffbc72ce23249f4c4d053c8eee0ba7,538004148,431750000,2018-08-15T09:30:00Z,2018-08-15T12:00:00Z,0.159,1.054,6.79234602335,-19.345233204800003
c753742be40c06df7834029ca797bc3e,636018031,412329684,2018-10-16T11:20:00Z,2018-10-16T17:10:00Z,0.055,0.866,-60.541674736636374,-46.64719064775909
614fece36dfa10b12a7ebd48a89df6cc,415518424,416004981,2018-10-28T23:10:00Z,2018-10-29T01:40:00Z,0.039,0.173,150.15981677450003,40.281220811800004
799acc6d0620faecdfb93d45eec5f4ea,440686000,416004981,2018-10-12T09:40:00Z,2018-10-12T20:10:00Z,0.056,1.968,151.5480011614057,41.821526551888574
1f8d9452ff25f4d98c35a2f25bace0c9,440170000,416248800,2018-10-21T20:00:00Z,2018-10-23T09:40:00Z,0.044,1.139,152.0171762993558,41.27559630464535
8643263b04c97fe793c99e69b80ee171,353982000,441769000,2018-04-01T22:10:00Z,2018-04-02T00:40:00Z,0.063,1.136,-60.1220419897,-46.5648628098
63234b699a85bf5497bf2d08cfd6fec6,356609000,441769000,2018-01-11T22:00:00Z,2018-01-12T07:30:00Z,0.06,0.042,-60.49740916471,-45.50087348101499
104e50e1c980ac306171b353497f19dc,636014306,441769000,2018-03-10T23:30:00Z,2018-03-11T02:10:00Z,0.067,0.637,-60.133226963800006,-45.6136906109
99306db3ea76558d27611edc28d075d5,441364000,416001225,2018-12-29T23:20:00Z,2018-12-30T01:50:00Z,0.184,1.815,161.22557038850002,1.44732104895
8164835b99bd478a58730bb07b55c57b,371717000,412331036,2018-03-10T10:30:00Z,2018-03-10T20:50:00Z,0.061,1.598,-60.10311513440258,-45.26422450632931
6c1a22060a0b2b79b4f3c73e896da418,371335000,412200146,2018-03-17T13:50:00Z,2018-03-17T16:30:00Z,0.078,1.339,-112.0088948937,2.0100394607
e06b47b19407cf6984318bb0a3a1c9e3,538004308,416240500,2018-02-11T14:40:00Z,2018-02-11T20:40:00Z,0.186,1.539,-60.5846161796,-46.300400285049996
29ddb6c5c3e4aaf9c935c36ff4722f34,431201000,416005645,2018-12-15T08:50:00Z,2018-12-15T11:10:00Z,0.054,1.265,-1.24293046175,-8.32153079795
19a65d49e35e1313441ebce569433b7c,636017161,416379000,2018-11-27T11:10:00Z,2018-11-27T16:30:00Z,0.042,1.399,-9.0282541132,-2.1649010854
fb77942d6ebb3d87933c855f57f7243f,355827000,412271470,2018-06-08T14:00:00Z,2018-06-08T17:10:00Z,0.057,1.23,-80.8336349677,-15.512957485600001
fd09d73e342f73900275121c0b0e53fd,371717000,412420966,2018-08-18T13:40:00Z,2018-08-18T17:10:00Z,0.036,1.297,-98.2753855165,-2.8281978163
12495fa9b4ec22a0b3213d91d2db31c2,636017468,577251000,2018-11-17T15:50:00Z,2018-11-17T20:10:00Z,0.029,1.306,-134.89673435095,-5.79507700185
5b3d887ae06a6f8e067baca87c53dcf5,371717000,412420966,2018-08-04T14:30:00Z,2018-08-04T18:30:00Z,0.033,1.748,-101.68191613711082,-1.5154720209540542
64ce899d175ba515de21421c008e9c97,441032000,416005482,2018-11-07T20:30:00Z,2018-11-08T02:40:00Z,0.026,1.394,-153.58682262215,-0.4528656093
235165abe89250ab6b04f5db3833ea84,374612000,412420468,2018-03-26T21:40:00Z,2018-03-27T00:00:00Z,0.046,1.308,-112.2286051119,1.3694312884
ba54855e5afbffb30927974212df1715,273324210,441713000,2018-10-03T22:10:00Z,2018-10-04T03:30:00Z,0.028,0.401,153.06968006166326,42.73517362759796
85223201a5739417928a68496babf157,273356610,441713000,2018-10-23T20:00:00Z,2018-10-24T02:30:00Z,0.043,0.999,149.8861506627,40.0874369212
178c5311a9a04c21e229519f6723320a,351537000,412440489,2018-06-24T20:10:00Z,2018-06-25T00:00:00Z,0.046,1.567,149.2380911132,40.3451294196
f9b2242deb4f3783cf3efbbc423e751c,636008972,412420247,2018-12-29T14:20:00Z,2018-12-29T18:10:00Z,0.04,1.529,-95.74692707924999,-5.055047399799999
ad37ad0872b289d8e7f35a328560c89c,374762000,416249900,2018-03-14T20:10:00Z,2018-03-14T23:50:00Z,0.042,0.936,-26.3912803627,8.1884767871
35533da290afb68cbac52348bbaf23ff,636017752,412420855,2018-08-28T13:40:00Z,2018-08-28T18:30:00Z,0.053,0.653,-104.71433048490454,-2.2460738274227277
eccc979723b1882f9e7649c3e022370a,357832000,412420468,2018-09-04T14:30:00Z,2018-09-04T17:40:00Z,0.046,1.131,-104.54091038549998,-2.1956260097999998
8c515f88cd3e8f195594f71d12e88d10,351537000,441713000,2018-06-16T20:30:00Z,2018-06-17T04:40:00Z,0.024,0.721,162.35894212700003,41.90023039475
21fe4afa31d0f5b781e623c7278a265d,351537000,441713000,2018-06-02T19:40:00Z,2018-06-03T07:50:00Z,0.028,1.171,163.65743179011338,40.60955776859643
f8ff57a8a9e666e3e34620aa6f39eac5,412436952,412421022,2018-07-14T17:40:00Z,2018-07-14T23:30:00Z,0.037,0.655,162.4496862648,46.016189049
3d5047079a780c6b56d41e195516a4eb,357735000,416180600,2018-10-28T21:20:00Z,2018-10-29T07:10:00Z,0.05,0.461,150.2558981190586,40.59604658195757
d530fbaf5d9a9c2710227d374b5300ee,538004308,416004892,2018-02-12T18:10:00Z,2018-02-12T22:20:00Z,0.191,1.453,-60.230471116725,-45.32233486741251
247e402b2ff4befdb266177db9552bc4,374290000,412422704,2018-10-24T11:20:00Z,2018-10-24T14:20:00Z,0.101,1.568,-80.2841145142,-18.1932986743
8a062fdcbc5b6189f4974ecdb16e27ec,565318000,412283999,2018-07-26T11:10:00Z,2018-07-26T14:50:00Z,0.129,0.585,-19.3501701439,4.3234237721
206a0cc7155999d29ef46ddad43057a9,518100126,412283999,2018-05-15T05:20:00Z,2018-05-15T08:50:00Z,0.154,1.182,-18.9378118726,-10.9243504653
148595c30dd0fc40c88756775d60e1f3,441418000,440328000,2018-10-04T03:30:00Z,2018-10-04T09:10:00Z,0.022,0.612,39.20874955205,-25.96739915235
f75bf79cdf6a551fdd7d9332ac7ba60c,416521000,416745000,2018-09-10T13:50:00Z,2018-09-10T22:40:00Z,0.029,0.48,30.53159274002273,-36.511647562686356
358f13dc73cf0af643474ae7986b6e6f,416308000,416745000,2018-04-29T16:30:00Z,2018-04-29T20:50:00Z,0.033,1.425,29.65872506445,-36.89624265235
3b26fc95e95eb91c529eb2cdb2f63b4d,636017752,412420428,2018-07-23T12:50:00Z,2018-07-23T16:40:00Z,0.05,0.911,-99.14021229699999,-2.3141660326
97b55bc965e8eb2302c22fd599dbc09b,416064900,416000301,2018-06-16T10:50:00Z,2018-06-16T15:10:00Z,0.044,0.777,150.23141242463498,3.04307211127
3a596af8edc2c9e12cc29a94803e9fc6,412336769,412333739,2018-08-13T16:40:00Z,2018-08-14T17:50:00Z,0.025,1.257,-100.06292411908572,-2.062498735438462
461370c6c1e4de6fd04e8e8bb999f0e0,370599000,412201815,2018-06-21T06:50:00Z,2018-06-21T10:10:00Z,0.02,0.486,-1.0734414768,-10.119586137
84e96ab7fea0940a535fa83de2e0c283,356065000,412420848,2018-11-05T13:40:00Z,2018-11-05T21:30:00Z,0.035,0.801,-118.4989129688,-17.833028642149998
e41f4399ba9a1de6ba7cc99450daea45,440686000,412439762,2018-10-15T08:10:00Z,2018-10-15T21:00:00Z,0.057,0.531,152.30213687567573,41.27756616022929
1a9eebd5adc87d43b6c271e20669d918,563061200,416166700,2018-12-20T15:50:00Z,2018-12-20T19:10:00Z,0.132,1.659,59.915909058850005,-7.54497194925
