ssvid,shipname_norm,flag,imo,callsign,vessel_class,length_m,tonnage_gt,engine_power_kw,gfw_owner,gfw_owner_address,gfw_owner_flag,all_encounters,HS_encounters,fraction_encounters_in_HS,owner,owner_source,corporate_actor,corporate_actor_source,main_company,main_company_flag,subsidiaries_and_affiliates,main_company_and_subsidiaries_source,remarks
215338000,ANUKETPEARL,MLT,9395886,9HA2703,bunker,NA,5581,NA,ANUKET PEARL SHIPPING,"CARE OF ABC MARITIME AG , RUE PERDTEMPS, 1, 1260 NYON, SWITZERLAND.",CHE,4,1,0.25,ANUKET PEARL SHIPPING LTD (EFFECTIVE 2010-09-16) IMO COMPANY NUMBER 5562531 NATIONALITY OF REGISTRATION MALTA,GFW,ANUKET PEARL SHIPPING LTD,https://world-ships.com/company/b5c9ac27ebb22685219d237244198d21#.XPwYOdNKjaY,ABC Maritime AG,CHE,NA,http://www.abcmaritime.ch/  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=20878221,NA
273210110,PAMYATKIROVA,RUS,8701040,UFXA,carrier,144.35,12403,7600,OLYMPIA,"OFFICE 506, UL UNIVERSITETSKAYA 2G, KALININGRAD, 236040, RUSSIA.",RUS,46,26,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
273211110,PAMYATILICHA,RUS,8811675,UFYW,carrier,144.35,12406,7600,RUMB,"CARE OF BALTMED REEFER SERVICES LTD , 5, XENIAS STREET & CHARILAOU TRIKOUPI, KIFISIA, 145 62 ATHENS, GREECE.",RUS,16,1,0.06,RUMB LLC,GFW,RUMB LLC,https://world-ships.net/company/84f942dd7da137656bcd2716543422d9#.XP6sadNKjaY,BALTMED REEFER SERVICES LTD,GRC,Main Company: BALTMED REEFER SERVICES LTD,https://world-ships.net/company/84f942dd7da137656bcd2716543422d9#.XP6sadNKjaY  https://world-ships.net/company/7fe66954a759aa4e450756566606f9a5#.XP1uttNKjaY  http://www.hoovers.com/company-information/cs/company-profile.baltmed_reefer_service_ltd.20e00537525b04a5.html  https://panjiva.com/Baltmed-Reefer-Services-Ltd/39156111,NA
273312860,GARMONIYA,RUS,8516639,UERQ,carrier,103,4295,NA,YUZMORRYBFLOT,"UL ZAVODSKAYA 16, YUZHNO-MORSKOY, NAKHODKA, PRIMORSKIY KRAY, 692954, RUSSIA.",RUS,3,1,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
273313270,SIMFONIYA,RUS,8516627,UFEF,carrier,103,4298,NA,YUZMORRYBFLOT,"APARTMENT 20, UL FONTANNAYA 19, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,18,3,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
273324210,ARCTIC,RUS,8223464,UFOR,carrier,99.01,3526,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,37,12,0.32,DILMAS CO LTD,GFW,DILMAS OOO,https://world-ships.net/company/dcb478cd6178621c5fc0c0dad2246662#.XPwkLdNKjaY  https://dilmas.ru/en/  https://www.emis.com/php/company-profile/RU/Dilmas_OOO__%D0%94%D0%B8%D0%BB%D0%BC%D0%B0%D1%81_%D0%9E%D0%9E%D0%9E__en_3425802.html  http://www.hoovers.com/company-information/cs/company-profile.dilmas_ooo.8ace01042fbab110.html,DILMAS OOO,RUS,NA,NA,NA
273335960,FRIOAGATES,RUS,9081631,UGKH,carrier,133.95,6964,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,39,6,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
273353640,EKATERINA,RUS,8603171,UBZH8,carrier,116.57,4148,3307.5,UNITED HUATONG MARITIME,"UL PUSHKINSKAYA 40, VLADIVOSTOK, PRIMORSKIY KRAY, 690002, RUSSIA.",RUS,41,1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
273354920,ICEWIND,RUS,9003146,UBHH7,carrier,116.2,4280,NA,REFTRANSFLOT,"UL VOKZALNAYA 1, PETROPAVLOVSK-KAMCHATSKIY, KAMCHATSKIY KRAY, 683000, RUSSIA.",RUS,15,2,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
273356610,PROLIVLONGA,RUS,8136740,UBXG4,carrier,172.1,13496,NA,LINE INVEST C,"OFFICE 301, PEREULOK SHEVCHENKO 4, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,43,13,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
